Artists,Name,Weekly rank,Peak position,Weeks on chart,Week
Jason Derulo,Want To Want Me,12,5,16,2015-07-10
"Major Lazer, DJ Snake, MO",Lean On,13,13,12,2015-07-10
Rachel Platten,Fight Song,14,13,11,2015-07-10
"Fifth Harmony, Kid Ink",Worth It,15,14,19,2015-07-10
The Weeknd,Earned It,16,3,27,2015-07-10
"Skrillex, Diplo With Justin Bieber",Where Are U Now,17,15,17,2015-07-10
Maroon 5,Sugar,18,2,24,2015-07-10
"DJ Snake, AlunaGeorge",You Know You Like It,19,13,14,2015-07-10
"Omarion, Chris Brown, Jhene Aiko",Post To Be,20,13,25,2015-07-10
Tove Lo,Talking Body,21,12,22,2015-07-10
Ed Sheeran,Thinking Out Loud,22,2,38,2015-07-10
The Weeknd,The Hills,23,20,5,2015-07-10
Maroon 5,This Summer's Gonna Hurt...,24,23,7,2015-07-10
T,Nasty Freestyle,25,9,11,2015-07-10
Ellie Goulding,Love Me Like You Do,26,3,25,2015-07-10
Little Big Town,Girl Crush,27,18,19,2015-07-10
Rihanna,B**** Better Have My Money,28,17,14,2015-07-10
Rich Homie Quan,Flex,29,26,10,2015-07-10
Ed Sheeran,Photograph,30,30,7,2015-07-10
Sia,Elastic Heart,31,17,25,2015-07-10
Trey Songz,Slow Motion,32,26,20,2015-07-10
Nicki Minaj,The Night Is Still Young,33,31,8,2015-07-10
"Jidenna, Roman GianArthur",Classic Man,34,34,8,2015-07-10
Sam Hunt,Take Your Time,35,20,26,2015-07-10
George Ezra,Budapest,36,32,22,2015-07-10
Luke Bryan,Kick The Dust Up,37,26,6,2015-07-10
Blake Shelton,Sangria,38,38,11,2015-07-10
Taylor Swift,Shake It Off,39,1,45,2015-07-10
"Pitbull, Chris Brown",Fun,40,40,7,2015-07-10
Taylor Swift,Style,41,6,29,2015-07-10
"Natalie La Rose, Jeremih",Somebody,42,10,23,2015-07-10
"Kid Ink, DeJ Loaf",Be Real,43,43,11,2015-07-10
"Flo Rida, Sage The Gemini, Lookas",G.D.F.R.,44,8,33,2015-07-10
Taylor Swift,Blank Space,45,1,35,2015-07-10
Meghan Trainor,Dear Future Husband,46,14,24,2015-07-10
Fall Out Boy,Uma Thurman,47,47,12,2015-07-10
Sam Hunt,House Party,48,48,4,2015-07-10
Kelsea Ballerini,Love Me Like You Mean It,49,45,13,2015-07-10
Carrie Underwood,Little Toy Guns,50,47,15,2015-07-10
Echosmith,Bright,51,40,15,2015-07-10
Jason Aldean,Tonight Looks Good On You,52,51,10,2015-07-10
Canaan Smith,Love You Like That,53,53,14,2015-07-10
Eric Church,Like A Wrecking Ball,54,53,14,2015-07-10
Tim McGraw With Catherine Dunn,Diamond Rings And Old Barstools,55,55,15,2015-07-10
Shawn Mendes,Stitches,56,56,5,2015-07-10
Thomas Rhett,Crash And Burn,57,57,7,2015-07-10
Easton Corbin,Baby Be My Love Song,58,58,12,2015-07-10
Future,Commas,59,55,13,2015-07-10
Brantley Gilbert,One Hell Of An Amen,60,60,9,2015-07-10
J. Cole,Wet Dreamz,61,61,12,2015-07-10
Zac Brown Band,Loving You Easy,62,62,5,2015-07-10
Ariana Grande,One Last Time,63,13,20,2015-07-10
Chris Janson,Buy Me A Boat,64,62,5,2015-07-10
X Ambassadors,Renegades,65,65,11,2015-07-10
"Jeremih, J. Cole",Planez,66,66,5,2015-07-10
"Janet, J. Cole",No Sleeep,67,,,2015-07-10
Florida Georgia Line,Sippin' On Fire,68,40,16,2015-07-10
Brad Paisley,Crushin' It,69,69,9,2015-07-10
Michael Ray,Kiss You In The Morning,70,70,5,2015-07-10
"Wale, Usher",The Matrimony,71,70,13,2015-07-10
Billy Currington,Don't It,72,44,17,2015-07-10
Carly Rae Jepsen,I Really Like You,73,39,17,2015-07-10
"Flo Rida, Robin Thicke, Verdine White","I Don't Like It, I Love It",74,,,2015-07-10
"DJ Khaled, Chris Brown, Lil Wayne, Big Sean",How Many Times,75,68,7,2015-07-10
Keith Urban,"John Cougar, John Deere, John 3:16",76,76,3,2015-07-10
Adam Lambert,Ghost Town,77,73,2,2015-07-10
Dustin Lynch,Hell Of A Night,78,78,4,2015-07-10
"Charlie Puth, Meghan Trainor",Marvin Gaye,79,79,2,2015-07-10
Frankie Ballard,Young & Crazy,80,80,5,2015-07-10
"Meek Mill, Chris Brown, Nicki Minaj",All Eyes On You,81,,,2015-07-10
Drake,Energy,82,26,20,2015-07-10
"Nicky Jam, Enrique Iglesias",El Perdon,83,66,14,2015-07-10
A Thousand Horses,Smoke,84,47,18,2015-07-10
Rae Sremmurd,This Could Be Us,85,85,3,2015-07-10
Brett Eldredge,Lose My Mind,86,86,3,2015-07-10
Drake,Know Yourself,87,53,19,2015-07-10
Jessie J,Flashlight,88,61,6,2015-07-10
Kenny Chesney With Grace Potter,Wild Child,89,56,15,2015-07-10
"Sage The Gemini, Nick Jonas",Good Thing,90,90,2,2015-07-10
"Tech N9Ne, 2 Chainz, B.o.B",Hood Go Crazy,91,90,4,2015-07-10
"Shaggy, Mohombi, Faydee, Costi",I Need Your Love,92,66,8,2015-07-10
"Janelle Monae, Jidenna",Yoga,93,,,2015-07-10
"Zedd, Jon Bellion",Beautiful Now,94,88,3,2015-07-10
"Madonna, Nicki Minaj",B**** I'm Madonna,95,84,2,2015-07-10
Jake Owen,Real Life,96,,,2015-07-10
"Britney Spears, Iggy Azalea",Pretty Girls,97,29,8,2015-07-10
twenty one pilots,Tear In My Heart,98,82,4,2015-07-10
Sam Smith,Like I Can,99,,,2015-07-10
Young Thug,Check,100,,,2015-07-10
"Wiz Khalifa, Charlie Puth",See You Again,1,1,5,2015-07-03
Fetty Wap,Trap Queen,3,2,22,2015-07-03
OMI,Cheerleader,4,4,9,2015-07-03
WALK THE MOON,Shut Up And Dance,5,4,32,2015-07-03
"Mark Ronson, Bruno Mars",Uptown Funk!,6,1,32,2015-07-03
Jason Derulo,Want To Want Me,7,5,15,2015-07-03
"David Guetta, Nicki Minaj, Bebe Rexha, Afrojack",Hey Mama,8,8,13,2015-07-03
Andy Grammer,"Honey, I'm Good.",9,9,17,2015-07-03
The Weeknd,Earned It,10,3,26,2015-07-03
Silento,Watch Me,11,11,17,2015-07-03
The Weeknd,Can't Feel My Face,12,12,2,2015-07-03
Rachel Platten,Fight Song,13,13,10,2015-07-03
"Fifth Harmony, Kid Ink",Worth It,14,14,18,2015-07-03
"Skrillex, Diplo With Justin Bieber",Where Are U Now,15,15,16,2015-07-03
Tove Lo,Talking Body,16,12,21,2015-07-03
"Major Lazer, DJ Snake, MO",Lean On,17,17,11,2015-07-03
"DJ Snake, AlunaGeorge",You Know You Like It,18,13,13,2015-07-03
Maroon 5,Sugar,19,2,23,2015-07-03
Ed Sheeran,Thinking Out Loud,20,2,37,2015-07-03
"Omarion, Chris Brown, Jhene Aiko",Post To Be,21,13,24,2015-07-03
The Weeknd,The Hills,22,20,4,2015-07-03
T,Nasty Freestyle,23,9,10,2015-07-03
Ellie Goulding,Love Me Like You Do,24,3,24,2015-07-03
Maroon 5,This Summer's Gonna Hurt...,25,23,6,2015-07-03
Rich Homie Quan,Flex,26,26,9,2015-07-03
Little Big Town,Girl Crush,27,18,18,2015-07-03
Rihanna,B**** Better Have My Money,28,17,13,2015-07-03
Trey Songz,Slow Motion,29,26,19,2015-07-03
Sia,Elastic Heart,30,17,24,2015-07-03
Nicki Minaj,The Night Is Still Young,31,31,7,2015-07-03
Sam Hunt,Take Your Time,32,20,25,2015-07-03
George Ezra,Budapest,33,32,21,2015-07-03
Ed Sheeran,Photograph,34,34,6,2015-07-03
Meghan Trainor,Dear Future Husband,35,14,23,2015-07-03
Luke Bryan,Kick The Dust Up,36,26,5,2015-07-03
"Natalie La Rose, Jeremih",Somebody,37,10,22,2015-07-03
Taylor Swift,Style,38,6,28,2015-07-03
Blake Shelton,Sangria,39,39,10,2015-07-03
Taylor Swift,Shake It Off,40,1,44,2015-07-03
"Flo Rida, Sage The Gemini, Lookas",G.D.F.R.,41,8,32,2015-07-03
Taylor Swift,Blank Space,42,1,34,2015-07-03
"Kid Ink, DeJ Loaf",Be Real,43,43,10,2015-07-03
"Pitbull, Chris Brown",Fun,44,44,6,2015-07-03
Echosmith,Bright,45,40,14,2015-07-03
Kelsea Ballerini,Love Me Like You Mean It,46,45,12,2015-07-03
Carrie Underwood,Little Toy Guns,47,47,14,2015-07-03
"Big Sean, Drake",Blessings,48,28,20,2015-07-03
Fall Out Boy,Uma Thurman,49,49,11,2015-07-03
"Jidenna, Roman GianArthur",Classic Man,50,50,7,2015-07-03
Jason Aldean,Tonight Looks Good On You,51,51,9,2015-07-03
Sam Hunt,House Party,52,52,3,2015-07-03
Eric Church,Like A Wrecking Ball,53,53,13,2015-07-03
Canaan Smith,Love You Like That,54,54,13,2015-07-03
Future,Commas,55,55,12,2015-07-03
Tim McGraw With Catherine Dunn,Diamond Rings And Old Barstools,56,56,14,2015-07-03
Thomas Rhett,Crash And Burn,57,57,6,2015-07-03
Easton Corbin,Baby Be My Love Song,58,58,11,2015-07-03
Ariana Grande,One Last Time,59,13,19,2015-07-03
Florida Georgia Line,Sippin' On Fire,60,40,15,2015-07-03
J. Cole,Wet Dreamz,61,61,11,2015-07-03
Chris Janson,Buy Me A Boat,62,62,4,2015-07-03
Zac Brown Band,Loving You Easy,63,63,4,2015-07-03
Brantley Gilbert,One Hell Of An Amen,64,64,8,2015-07-03
Carly Rae Jepsen,I Really Like You,65,39,16,2015-07-03
Billy Currington,Don't It,66,44,16,2015-07-03
Kenny Chesney With Grace Potter,Wild Child,67,56,14,2015-07-03
"DJ Khaled, Chris Brown, Lil Wayne, Big Sean",How Many Times,68,68,6,2015-07-03
Shawn Mendes,Stitches,69,69,4,2015-07-03
"Wale, Usher",The Matrimony,70,70,12,2015-07-03
"Jeremih, J. Cole",Planez,71,71,4,2015-07-03
Brad Paisley,Crushin' It,72,72,8,2015-07-03
Adam Lambert,Ghost Town,73,,,2015-07-03
X Ambassadors,Renegades,74,69,10,2015-07-03
A Thousand Horses,Smoke,75,47,17,2015-07-03
Michael Ray,Kiss You In The Morning,76,76,4,2015-07-03
Sam Smith,Lay Me Down,77,8,20,2015-07-03
"Shaggy, Mohombi, Faydee, Costi",I Need Your Love,78,66,7,2015-07-03
Drake,Energy,79,26,19,2015-07-03
Frankie Ballard,Young & Crazy,80,80,4,2015-07-03
"Britney Spears, Iggy Azalea",Pretty Girls,81,29,7,2015-07-03
Dustin Lynch,Hell Of A Night,82,82,3,2015-07-03
"Nicky Jam, Enrique Iglesias",El Perdon,83,66,13,2015-07-03
"Madonna, Nicki Minaj",B**** I'm Madonna,84,,,2015-07-03
Keith Urban,"John Cougar, John Deere, John 3:16",85,85,2,2015-07-03
Drake,Know Yourself,86,53,18,2015-07-03
"Charlie Puth, Meghan Trainor",Marvin Gaye,87,,,2015-07-03
Jessie J,Flashlight,88,61,5,2015-07-03
"Zedd, Jon Bellion",Beautiful Now,89,88,2,2015-07-03
Rae Sremmurd,This Could Be Us,90,90,2,2015-07-03
"Tech N9Ne, 2 Chainz, B.o.B",Hood Go Crazy,91,90,3,2015-07-03
Brett Eldredge,Lose My Mind,92,92,2,2015-07-03
Hilary Duff,Sparks,93,,,2015-07-03
"Mumford, Sons",Believe,94,31,15,2015-07-03
Miguel,Coffee,95,78,2,2015-07-03
"Kevin Gates, August Alsina",I Don't Get Tired,96,90,9,2015-07-03
twenty one pilots,Tear In My Heart,97,82,3,2015-07-03
Chedda Da Connect,Flicka Da Wrist,98,94,4,2015-07-03
"Bandit Gang Marco, Dro",Nasty,99,41,9,2015-07-03
"Sage The Gemini, Nick Jonas",Good Thing,100,,,2015-07-03
"Wiz Khalifa, Charlie Puth",See You Again,1,1,4,2015-06-26
Fetty Wap,Trap Queen,3,2,21,2015-06-26
WALK THE MOON,Shut Up And Dance,4,4,31,2015-06-26
Jason Derulo,Want To Want Me,5,5,14,2015-06-26
"Mark Ronson, Bruno Mars",Uptown Funk!,6,1,31,2015-06-26
OMI,Cheerleader,7,7,8,2015-06-26
The Weeknd,Earned It,8,3,25,2015-06-26
"David Guetta, Nicki Minaj, Bebe Rexha, Afrojack",Hey Mama,9,8,12,2015-06-26
Andy Grammer,"Honey, I'm Good.",10,9,16,2015-06-26
Silento,Watch Me,11,11,16,2015-06-26
Maroon 5,Sugar,12,2,22,2015-06-26
"DJ Snake, AlunaGeorge",You Know You Like It,13,13,12,2015-06-26
Tove Lo,Talking Body,14,12,20,2015-06-26
"Fifth Harmony, Kid Ink",Worth It,15,15,17,2015-06-26
"Skrillex, Diplo With Justin Bieber",Where Are U Now,16,16,15,2015-06-26
"Omarion, Chris Brown, Jhene Aiko",Post To Be,17,13,23,2015-06-26
T,Nasty Freestyle,18,9,9,2015-06-26
Rachel Platten,Fight Song,19,19,9,2015-06-26
"Major Lazer, DJ Snake, MO",Lean On,20,20,10,2015-06-26
Ed Sheeran,Thinking Out Loud,21,2,36,2015-06-26
Ellie Goulding,Love Me Like You Do,22,3,23,2015-06-26
The Weeknd,The Hills,23,20,3,2015-06-26
The Weeknd,Can't Feel My Face,24,,,2015-06-26
Maroon 5,This Summer's Gonna Hurt...,25,23,5,2015-06-26
Rihanna,B**** Better Have My Money,26,17,12,2015-06-26
Rich Homie Quan,Flex,27,27,8,2015-06-26
Little Big Town,Girl Crush,28,18,17,2015-06-26
Trey Songz,Slow Motion,29,26,18,2015-06-26
Meghan Trainor,Dear Future Husband,30,14,22,2015-06-26
"Natalie La Rose, Jeremih",Somebody,31,10,21,2015-06-26
Sia,Elastic Heart,32,17,23,2015-06-26
Sam Hunt,Take Your Time,33,20,24,2015-06-26
Taylor Swift,Style,34,6,27,2015-06-26
Nicki Minaj,The Night Is Still Young,35,35,6,2015-06-26
George Ezra,Budapest,36,32,20,2015-06-26
Luke Bryan,Kick The Dust Up,37,26,4,2015-06-26
"Flo Rida, Sage The Gemini, Lookas",G.D.F.R.,38,8,31,2015-06-26
Taylor Swift,Shake It Off,39,1,43,2015-06-26
Blake Shelton,Sangria,40,39,9,2015-06-26
Ed Sheeran,Photograph,41,41,5,2015-06-26
Taylor Swift,Blank Space,42,1,33,2015-06-26
Echosmith,Bright,43,40,13,2015-06-26
"Kid Ink, DeJ Loaf",Be Real,44,44,9,2015-06-26
Kelsea Ballerini,Love Me Like You Mean It,45,45,11,2015-06-26
"Big Sean, Drake",Blessings,46,28,19,2015-06-26
"Pitbull, Chris Brown",Fun,47,47,5,2015-06-26
Carrie Underwood,Little Toy Guns,48,48,13,2015-06-26
Florida Georgia Line,Sippin' On Fire,49,40,14,2015-06-26
"Pitbull, Ne",Time Of Our Lives,50,9,27,2015-06-26
Fall Out Boy,Uma Thurman,51,51,10,2015-06-26
Ariana Grande,One Last Time,52,13,18,2015-06-26
Eric Church,Like A Wrecking Ball,53,53,12,2015-06-26
Nick Jonas,Chains,54,13,20,2015-06-26
Future,Commas,55,55,11,2015-06-26
Jason Aldean,Tonight Looks Good On You,56,53,8,2015-06-26
Kenny Chesney With Grace Potter,Wild Child,57,56,13,2015-06-26
Canaan Smith,Love You Like That,58,58,12,2015-06-26
Carly Rae Jepsen,I Really Like You,59,39,15,2015-06-26
"Jidenna, Roman GianArthur",Classic Man,60,60,6,2015-06-26
Thomas Rhett,Crash And Burn,61,61,5,2015-06-26
Easton Corbin,Baby Be My Love Song,62,62,10,2015-06-26
A Thousand Horses,Smoke,63,47,16,2015-06-26
Tim McGraw With Catherine Dunn,Diamond Rings And Old Barstools,64,64,13,2015-06-26
Sam Hunt,House Party,65,65,2,2015-06-26
Billy Currington,Don't It,66,44,15,2015-06-26
Chris Janson,Buy Me A Boat,67,67,3,2015-06-26
J. Cole,Wet Dreamz,68,68,10,2015-06-26
Brantley Gilbert,One Hell Of An Amen,69,69,7,2015-06-26
"Britney Spears, Iggy Azalea",Pretty Girls,70,29,6,2015-06-26
Zac Brown Band,Loving You Easy,71,71,3,2015-06-26
"Wale, Usher",The Matrimony,72,71,11,2015-06-26
"Shaggy, Mohombi, Faydee, Costi",I Need Your Love,73,66,6,2015-06-26
"DJ Khaled, Chris Brown, Lil Wayne, Big Sean",How Many Times,74,74,5,2015-06-26
Sam Smith,Lay Me Down,75,8,19,2015-06-26
Jessie J,Flashlight,76,61,4,2015-06-26
Brad Paisley,Crushin' It,77,77,7,2015-06-26
"Jeremih, J. Cole",Planez,78,78,3,2015-06-26
Shawn Mendes,Stitches,79,78,3,2015-06-26
Drake,Know Yourself,80,53,17,2015-06-26
Michael Ray,Kiss You In The Morning,81,81,3,2015-06-26
"Travi$ Scott, Future, 2 Chainz",3500,82,,,2015-06-26
Drake,Energy,83,26,18,2015-06-26
"Nicky Jam, Enrique Iglesias",El Perdon,84,66,12,2015-06-26
Frankie Ballard,Young & Crazy,85,85,3,2015-06-26
Keith Urban,"John Cougar, John Deere, John 3:16",86,,,2015-06-26
X Ambassadors,Renegades,87,69,9,2015-06-26
"Bandit Gang Marco, Dro",Nasty,88,41,8,2015-06-26
Dustin Lynch,Hell Of A Night,89,89,2,2015-06-26
"Tech N9Ne, 2 Chainz, B.o.B",Hood Go Crazy,90,90,2,2015-06-26
"Mumford, Sons",Believe,91,31,14,2015-06-26
"Prince Royce, Jennifer Lopez, Pitbull",Back It Up,92,,,2015-06-26
"Kanye West, Theophilus London, Allan Kingdom, Paul McCartney",All Day,93,15,15,2015-06-26
Rae Sremmurd,This Could Be Us,94,,,2015-06-26
"Zedd, Selena Gomez",I Want You To Know,95,17,16,2015-06-26
"Kevin Gates, August Alsina",I Don't Get Tired,96,90,8,2015-06-26
Brett Eldredge,Lose My Mind,97,,,2015-06-26
A$AP Rocky,L$D,98,62,3,2015-06-26
"A$AP Rocky, Rod Stewart, Miguel, Mark Ronson",Everyday,99,92,2,2015-06-26
twenty one pilots,Tear In My Heart,100,82,2,2015-06-26
"Wiz Khalifa, Charlie Puth",See You Again,1,1,3,2015-06-19
Fetty Wap,Trap Queen,3,2,20,2015-06-19
WALK THE MOON,Shut Up And Dance,4,4,30,2015-06-19
Jason Derulo,Want To Want Me,5,5,13,2015-06-19
"Mark Ronson, Bruno Mars",Uptown Funk!,6,1,30,2015-06-19
The Weeknd,Earned It,7,3,24,2015-06-19
"David Guetta, Nicki Minaj, Bebe Rexha, Afrojack",Hey Mama,8,8,11,2015-06-19
Andy Grammer,"Honey, I'm Good.",9,9,15,2015-06-19
Maroon 5,Sugar,10,2,21,2015-06-19
OMI,Cheerleader,11,11,7,2015-06-19
Tove Lo,Talking Body,12,12,19,2015-06-19
T,Nasty Freestyle,13,9,8,2015-06-19
"DJ Snake, AlunaGeorge",You Know You Like It,14,14,11,2015-06-19
Silento,Watch Me,15,15,15,2015-06-19
"Omarion, Chris Brown, Jhene Aiko",Post To Be,16,13,22,2015-06-19
Ellie Goulding,Love Me Like You Do,17,3,22,2015-06-19
"Fifth Harmony, Kid Ink",Worth It,18,17,16,2015-06-19
"Skrillex, Diplo With Justin Bieber",Where Are U Now,19,17,14,2015-06-19
Ed Sheeran,Thinking Out Loud,20,2,35,2015-06-19
The Weeknd,The Hills,21,20,2,2015-06-19
"Major Lazer, DJ Snake, MO",Lean On,22,22,9,2015-06-19
Maroon 5,This Summer's Gonna Hurt...,23,23,4,2015-06-19
Rihanna,B**** Better Have My Money,24,17,11,2015-06-19
Rachel Platten,Fight Song,25,25,8,2015-06-19
Meghan Trainor,Dear Future Husband,26,14,21,2015-06-19
Trey Songz,Slow Motion,27,26,17,2015-06-19
"Natalie La Rose, Jeremih",Somebody,28,10,20,2015-06-19
Little Big Town,Girl Crush,29,18,16,2015-06-19
Rich Homie Quan,Flex,30,30,7,2015-06-19
Taylor Swift,Style,31,6,26,2015-06-19
"Flo Rida, Sage The Gemini, Lookas",G.D.F.R.,32,8,30,2015-06-19
Sia,Elastic Heart,33,17,22,2015-06-19
George Ezra,Budapest,34,32,19,2015-06-19
Sam Hunt,Take Your Time,35,20,23,2015-06-19
Nicki Minaj,The Night Is Still Young,36,36,5,2015-06-19
Taylor Swift,Blank Space,37,1,32,2015-06-19
Taylor Swift,Shake It Off,38,1,42,2015-06-19
Blake Shelton,Sangria,39,39,8,2015-06-19
Echosmith,Bright,40,40,12,2015-06-19
Luke Bryan,Kick The Dust Up,41,26,3,2015-06-19
Ed Sheeran,Photograph,42,42,4,2015-06-19
Nick Jonas,Chains,43,13,19,2015-06-19
Florida Georgia Line,Sippin' On Fire,44,40,13,2015-06-19
"Kid Ink, DeJ Loaf",Be Real,45,45,8,2015-06-19
"Big Sean, Drake",Blessings,46,28,18,2015-06-19
Eminem,Phenomenal,47,,,2015-06-19
"Pitbull, Ne",Time Of Our Lives,48,9,26,2015-06-19
Billy Currington,Don't It,49,44,14,2015-06-19
"Pitbull, Chris Brown",Fun,50,50,4,2015-06-19
Ariana Grande,One Last Time,51,13,17,2015-06-19
"Britney Spears, Iggy Azalea",Pretty Girls,52,29,5,2015-06-19
Kelsea Ballerini,Love Me Like You Mean It,53,53,10,2015-06-19
Fall Out Boy,Uma Thurman,54,54,9,2015-06-19
Carrie Underwood,Little Toy Guns,55,55,12,2015-06-19
Kenny Chesney With Grace Potter,Wild Child,56,56,12,2015-06-19
Future,Commas,57,55,10,2015-06-19
How I Became The Bomb,"Ulay, Oh",58,,,2015-06-19
A Thousand Horses,Smoke,59,47,15,2015-06-19
Carly Rae Jepsen,I Really Like You,60,39,14,2015-06-19
Canaan Smith,Love You Like That,61,61,11,2015-06-19
"Jidenna, Roman GianArthur",Classic Man,62,62,5,2015-06-19
Easton Corbin,Baby Be My Love Song,63,63,9,2015-06-19
Eric Church,Like A Wrecking Ball,64,64,11,2015-06-19
"Nicki Minaj, Drake, Lil Wayne",Truffle Butter,65,14,20,2015-06-19
Jason Aldean,Tonight Looks Good On You,66,53,7,2015-06-19
Thomas Rhett,Crash And Burn,67,67,4,2015-06-19
Tim McGraw With Catherine Dunn,Diamond Rings And Old Barstools,68,68,12,2015-06-19
J. Cole,Wet Dreamz,69,69,9,2015-06-19
Brantley Gilbert,One Hell Of An Amen,70,69,6,2015-06-19
"Shaggy, Mohombi, Faydee, Costi",I Need Your Love,71,66,5,2015-06-19
Sam Smith,Lay Me Down,72,8,18,2015-06-19
"Wale, Usher",The Matrimony,73,71,10,2015-06-19
Jessie J,Flashlight,74,61,3,2015-06-19
Zac Brown Band,Loving You Easy,75,75,2,2015-06-19
"Rihanna, Kanye West, Paul McCartney",FourFiveSeconds,76,4,20,2015-06-19
"DJ Khaled, Chris Brown, Lil Wayne, Big Sean",How Many Times,77,74,4,2015-06-19
Shawn Mendes,Stitches,78,78,2,2015-06-19
Brad Paisley,Crushin' It,79,79,6,2015-06-19
Drake,Know Yourself,80,53,16,2015-06-19
Chris Janson,Buy Me A Boat,81,81,2,2015-06-19
"Bandit Gang Marco, Dro",Nasty,82,41,7,2015-06-19
"Nicky Jam, Enrique Iglesias",El Perdon,83,66,11,2015-06-19
A$AP Rocky,L$D,84,62,2,2015-06-19
Sam Hunt,House Party,85,,,2015-06-19
Drake,Energy,86,26,17,2015-06-19
Michael Ray,Kiss You In The Morning,87,87,2,2015-06-19
"Jeremih, J. Cole",Planez,88,88,2,2015-06-19
"Mumford, Sons",Believe,89,31,13,2015-06-19
Frankie Ballard,Young & Crazy,90,90,2,2015-06-19
"Kanye West, Theophilus London, Allan Kingdom, Paul McCartney",All Day,91,15,14,2015-06-19
"A$AP Rocky, Rod Stewart, Miguel, Mark Ronson",Everyday,92,,,2015-06-19
"Zedd, Selena Gomez",I Want You To Know,93,17,15,2015-06-19
X Ambassadors,Renegades,94,69,8,2015-06-19
"Kevin Gates, August Alsina",I Don't Get Tired,95,90,7,2015-06-19
"Tech N9Ne, 2 Chainz, B.o.B",Hood Go Crazy,96,,,2015-06-19
"A$AP Rocky, ScHoolboy Q",Electric Body,97,80,2,2015-06-19
"Jamie Foxx, Chris Brown",You Changed Me,98,93,2,2015-06-19
Dustin Lynch,Hell Of A Night,99,,,2015-06-19
"Dillon Francis, DJ Snake",Get Low,100,61,9,2015-06-19
"Wiz Khalifa, Charlie Puth",See You Again,1,1,2,2015-06-12
Fetty Wap,Trap Queen,3,2,19,2015-06-12
WALK THE MOON,Shut Up And Dance,4,4,29,2015-06-12
"Mark Ronson, Bruno Mars",Uptown Funk!,5,1,29,2015-06-12
The Weeknd,Earned It,6,3,23,2015-06-12
Jason Derulo,Want To Want Me,7,6,12,2015-06-12
"David Guetta, Nicki Minaj, Bebe Rexha, Afrojack",Hey Mama,8,8,10,2015-06-12
Maroon 5,Sugar,9,2,20,2015-06-12
T,Nasty Freestyle,10,9,7,2015-06-12
Andy Grammer,"Honey, I'm Good.",11,11,14,2015-06-12
Tove Lo,Talking Body,12,12,18,2015-06-12
Ellie Goulding,Love Me Like You Do,13,3,21,2015-06-12
"Omarion, Chris Brown, Jhene Aiko",Post To Be,14,13,21,2015-06-12
"DJ Snake, AlunaGeorge",You Know You Like It,15,15,10,2015-06-12
OMI,Cheerleader,16,16,6,2015-06-12
"Skrillex, Diplo With Justin Bieber",Where Are U Now,17,17,13,2015-06-12
"Fifth Harmony, Kid Ink",Worth It,18,17,15,2015-06-12
Silento,Watch Me,19,19,14,2015-06-12
The Weeknd,The Hills,20,,,2015-06-12
Meghan Trainor,Dear Future Husband,21,14,20,2015-06-12
Ed Sheeran,Thinking Out Loud,22,2,34,2015-06-12
"Natalie La Rose, Jeremih",Somebody,23,10,19,2015-06-12
"Major Lazer, DJ Snake, MO",Lean On,24,24,8,2015-06-12
Little Big Town,Girl Crush,25,18,15,2015-06-12
Rihanna,B**** Better Have My Money,26,17,10,2015-06-12
Taylor Swift,Style,27,6,25,2015-06-12
"Flo Rida, Sage The Gemini, Lookas",G.D.F.R.,28,8,29,2015-06-12
Trey Songz,Slow Motion,29,26,16,2015-06-12
Maroon 5,This Summer's Gonna Hurt...,30,30,3,2015-06-12
Rich Homie Quan,Flex,31,31,6,2015-06-12
George Ezra,Budapest,32,32,18,2015-06-12
Nick Jonas,Chains,33,13,18,2015-06-12
Sia,Elastic Heart,34,17,21,2015-06-12
Taylor Swift,Blank Space,35,1,31,2015-06-12
Rachel Platten,Fight Song,36,28,7,2015-06-12
Sam Hunt,Take Your Time,37,20,22,2015-06-12
Nicki Minaj,The Night Is Still Young,38,38,4,2015-06-12
Taylor Swift,Shake It Off,39,1,41,2015-06-12
Blake Shelton,Sangria,40,40,7,2015-06-12
Luke Bryan,Kick The Dust Up,41,26,2,2015-06-12
Echosmith,Bright,42,42,11,2015-06-12
"Big Sean, Drake",Blessings,43,28,17,2015-06-12
Florida Georgia Line,Sippin' On Fire,44,40,12,2015-06-12
"Britney Spears, Iggy Azalea",Pretty Girls,45,29,4,2015-06-12
Ariana Grande,One Last Time,46,13,16,2015-06-12
"Pitbull, Ne",Time Of Our Lives,47,9,25,2015-06-12
A Thousand Horses,Smoke,48,47,14,2015-06-12
Meghan Trainor,All About That Bass,49,1,47,2015-06-12
Billy Currington,Don't It,50,44,13,2015-06-12
"Kid Ink, DeJ Loaf",Be Real,51,51,7,2015-06-12
Ed Sheeran,Photograph,52,52,3,2015-06-12
"Pitbull, Chris Brown",Fun,53,53,3,2015-06-12
"Bandit Gang Marco, Dro",Nasty,54,41,6,2015-06-12
Future,Commas,55,55,9,2015-06-12
Fall Out Boy,Uma Thurman,56,56,8,2015-06-12
Kelsea Ballerini,Love Me Like You Mean It,57,57,9,2015-06-12
Kenny Chesney With Grace Potter,Wild Child,58,58,11,2015-06-12
Carrie Underwood,Little Toy Guns,59,59,11,2015-06-12
"Nicki Minaj, Drake, Lil Wayne",Truffle Butter,60,14,19,2015-06-12
Jessie J,Flashlight,61,61,2,2015-06-12
A$AP Rocky,L$D,62,,,2015-06-12
