"","Artists","Name","Weeks.on.chart","Peak.position","Week","Weekly.rank","Date","Genre","Writing.Credits","Lyrics","Songwriter","ID"
"1014","Lil Yachty, NBA YoungBoy","NBAYoungboat",4,63,"2018-04-14",98,"March 9, 2018","YSL, Atlantic Records, Capitol Records, Motown, Quality Control Music, Atlanta, Trap, Rap","Digitalnas, Lil yachty, Youngboy never broke again","NBAYOUNGBOAT 
Wop, skrt
Skrt, skrt
Wop, wop
Skrt skrt, skrt skrt
I don't know what you take me for ho
Wop, wop
I ain't goin' for it
Wop
Young nigga, rich nigga, I'm a bad bitch getter
Fuck nigga, hoe nigga, I don't fuck with broke niggas
Always held my own since I jumped up off the porch, nigga
You ain't know, now you know, nigga, Hi-Tech pour a four, nigga
Bitch run me my sack before I come in
80 thousand dollars plus a jet on a backend
Twenty twin twins finna get plucked like a chicken
Brother locked up, he spent much time in the kitchen
We ain't really with none of that pretendin' and shit pretendin' and shit
I got six Catholic hoes in here sinnin' and shit sinnin' and shit
Pour that shit up, bust it down hoo
Bought a new crib, it got several amenities gang
You gon' get shot like the Kennedys yeah
Fuckin' with Lil Boat and YB doot, pew
Carbine it sound like a dump truck trraaa
Soon as I up, he gon' back up boom boom
She wanna fuck, I'ma smash her smash
He want a verse, I'ma tax him I'ma tax him
Say you want smoke, it ain't 'bout nothing
I know that nigga ain't 'bout nothing he ain't 'bout it
Bring out the boat when the flood coming
Strapped with a TEC when you pull up on me
I'm with the .38 baby, my neck see more water than the Navy gang
I was finna fuck your bitch, my nigga then I got lazy ugh
I saw your new watch, that shit cool but my shit crazy
Canary yellow diamonds in my mouth like I bit a daisy yeah
I'm with Lil Baby yeah, keep a .380, yeah pew pew
I'm with big Slime, yeah you know we goin' brazy, yeah slatt
17 with four babies, yeah
Lotta money, know they hate me, yeah
One on four, they try to play me, yeah
Shoot his ass right up in here pew pew, pew pew
Diamonds, they shine like a headlight shine
I keep that lil' bitch if her head right
I'ma lay up and fuck on her every night every night
When I'm leavin' I'm headin' straight to the flight no
Got a tiger but no I'm not Mike Tyson Mike Tyson
Scuff in the club like Fight Night Fight Night
I make that lil' ho act right act right
I tell that bitch fuck up my sack right bitch
Put that lil bitch on a Spirit flight gang
Return her next to me one night nyoom
We running and ducking from squad lights hoo
I got 32 shots in the gun fight
These niggas sweet like a honey bun sweet
Don't worry 'bout where my money from
At the crib, on the couch, we got huntin' guns doot
Dissect his hand from his other arm doot, doot, doot
Young nigga, rich nigga, I'm a big bag getter woo
Bitch nigga, snitch nigga, never met a real nigga bitch
Never had six figures, my bitch do tricks nigga
I go by Lil Boat and I'm coolin' with some real hittas gang
Whip on the wrist, that's a brick on the fist, nigga
No light needed for this chain, it's gon' glist nigga yeah
VS, one stone, that shit not far from flawless
Fuck a pretty bitch, nigga, my money gorgeous, bitch Lil Boat
","False",1014
"1015","Lil Yachty, Trippie Redd","66",1,NA,"2018-03-24",73,"March 9, 2018","Cloud Rap, Capitol Records, Motown, Quality Control Music, Atlanta, Trap, Rap","Dy krazy, Steve lean, Trippie redd, Lil yachty","66 
DY Krazy
Racks up, racks up, pullin' out a Bentley truck
Semi, semi, keep it tucked, bad bitch, bubble butt
14, 14, high school, servin' beans
Dropped out, now I'm rich, flexin' 'til I'm 66
Flexin' for these bands, finna pop out, ayy
Boolin' on the block I got my Glock out, ayy
I just pulled up in a Bentley
All the hatred go right to your fuckin' kidney
Flexin' bands, lil' nigga won't get a penny, yeah
I'ma keep on runnin' it up, ayy
I'ma keep on runnin' it up, fuckin' it up
This choppa bustin' you up, ayy
There you go, testin' your luck, dumb as fuck, yeah ayy, ooh
Flexin' baby, pull up in a drop top, ayy
Diamonds dancin' on me, baby hopscotch
Bling blaow, shinin' fresh just like some Pop Rocks, ayy
Fireworks, when I pull up to your block, pop
Racks up, racks up, pullin' out a Bentley truck
Semi, semi, keep it tucked, bad bitch, bubble butt
14, 14, high school, servin' beans
Dropped out, now I'm rich, flexin' 'til I'm 66
Racks up, racks up, pullin' out a Bentley truck
Semi, semi, keep it tucked, bad bitch, bubble butt
14, 14, high school, servin' beans
Dropped out, now I'm rich, flexin' 'til I'm 66
Ayy, when my brother get out, told him ain't no block now
Same bitches curbin' all up on my cock now
Twenty bitches and they all comin' with me skrrt, skrrt
Side by side, me and Trippie in the Bentley skrrt, skrrt
Ayy, and I bought it ain't no rentin'
Baby girl I'm tryna fuck, why is you ventin'? huh, huh
In 2016, I got hotter than your skate team huh, huh
2018, I need at least like eight rings huh, huh
Racks up, racks up gang, gang, pullin' out a Bentley truck yeah
Semi, semi, keep it tucked yeah, bad bitch, bubble butt woah
14, 14 'teen, high school, servin' beans beans
Dropped out, now I'm rich yeah, flexin' 'til I'm 66 yeah
Racks up, racks up yeah, pullin' out a Bentley truck skrrt
Semi, semi, keep it tucked yeah, bad bitch, bubble butt aight
14, 14 yeah, high school, servin' beans beans
Dropped out, now I'm rich yeah, flexin' 'til I'm 66
","False",1015
"1016","Lil Yachty, Ugly God","Boom!",1,NA,"2018-03-24",88,"March 9, 2018","Indiana, Cloud Rap, Quality Control Music, Capitol Records, Atlanta, Motown, Trap, Rap","30 roc, Ugly god, Lil yachty","BOOM! 
30, you a fool for this one
Run it up, mhm
I finally realized why you niggas hatin'
Niggas ain't gettin' no money, man
'Cause when you ain't gettin' no money, you know what I'm sayin', like
You know what I'm sayin', stressed out, you know what I'm sayin'
You stressed out when you get no money
We stressless over here, niggas is stress free
Yup, aye, yup, aye, yup, aye
Yuh, yuh, yuh, yuh, yuh, yuh, yuh, yuh
Yuh, yuh, yuh, yuh, yuh, yuh, aye, yuh, yuh yuh
Yuh, yuh, yuh, damn, yuh, okay, yuh
Yuh, yuh, yuh, yuh, yuh, yuh, yuh, yuh
God, Boat, God, Boat
And that lil' car go fast fast and that lil' car go zoom zoom
That lil' bitch got a fat ass ass, took that lil' bitch to the room whoo
My niggas walked in with sticks sticks, my niggas walked in with brooms brooms
Try to take one of my chains yeah, all you gon' hear is a boom boom
Boom! Boom! Boom! Boom! damn
Boom! Boom! Boom! Boom! grr
Don't give a fuck 'bout your clique, uh
Y'all can get hit with the boom boom
Don't give a fuck 'bout the bitch, uh
Give her the dick, then I zoom skrr
I'm like ""Whoops"", huh, I might peel off in a coupe, huh
Nigga better not take my chain, huh, blow that bitch up like a nuke, huh
I do this shit for my mama, my mama told me don't forget 'bout my roots huh
I just been countin' my commas, talk down I'ma stomp that boy out in my boots huh
Hop in the whip and go vroom, nigga talk down, I go boom
I won't even break a sweat, I'ma just call up my goons
Get yo' ass gone for the low, my shooters gon' ride to the moon
Then I'ma fuck on ya ho, take that bitch back to the room
Aye, I'ma shoot shots if you talk down on my name
I don't miss shots, but my choppa got aim
Old money, but it don't walk with a cane
VVS diamonds, just talk to my chain
Yeah I beat her back out, it get knocked out the frame
Fuck my old whip, had to cop me a Range
She don't fuck with me right now, but as soon as I drop
Guarantee she gon' fly for the fame
And that lil' car go fast fast and that lil' car go zoom zoom
That lil' bitch got a fat ass ass, took that lil' bitch to the room whoo
My niggas walked in with sticks sticks, my niggas walked in with brooms brooms
Try to take one of my chains yeah, all you gon' hear is a boom boom
Boom! Boom! Boom! Boom! damn
Boom! Boom! Boom! Boom! grr
Don't give a fuck 'bout your clique, uh, y'all can get hit with the boom boom
Don't give a fuck 'bout the bitch, uh, give her the dick, then I zoom skrr
Drop and roll ooh, ooh, death row ooh
I bought 6 cars before 20, uh
Gave her that dick, now she love me ooh
Gave her that dick, now she love me
Lean in the glass, like it's bubbly, huh
These niggas hate that I'm rich, huh
These niggas hate on my bitch, yeah fuck it
Fuck with that fuck up damn
Fuck, then I dip, 'cause she stuck up ooh
Crowd hands up like a stick-up yeah
Hit the flick of the wrist, huh
Bank on Lemony Snicket, huh ooh
Ice on my neck, cost a ticket, huh ooh
Your career rocky like ridges, huh ooh
Test me, you gon' need some stitches
That goes for any of you bitches lil boat
Chopsticks ooh, nigga, get beat up in the moshpits yeah
Leave a nigga lumpy, like cheese grits yeah
Dick 'bout as long as four fish sticks ooh
Middle finger to a cop, racist pig that can suck on my cock
Big rocks all inside of my watch, that's not a Rolex, my nigga, that's Swatch
And that lil' car go fast yeah and that lil' car go zoom zoom
That lil' bitch got a fat ass ass, took that lil' bitch to the room whoo
My niggas walked in with sticks sticks, my niggas walked in with brooms brooms
Try to take one of my chains yeah, all you gon' hear is a boom boom
Boom! Boom! Boom! Boom! skr, skr
Boom! Boom! Boom! Boom! skr, skr
Don't give a fuck 'bout your clique, uh, y'all can get hit with the boom boom
Don't give a fuck 'bout the bitch, uh, give her the dick, then I zoom skrr
Skrr, skrr, skrr
Skrr, skrr
","False",1016
"1017","Lin","Almost Like Praying",1,NA,"2017-10-28",20,"October 6, 2017","Island Records, Def Jam, Warner Bros., Epic Records, Universal, Atlantic Records, Latin Pop, Pop, Latin Music, En Espa<f1>ol, Rap","Lin manuel miranda","Almost Like Praying 
Click here to donate to the Hispanic Federation's Puerto Rico relief effort ??
Say it loud and there's music playing<U+0085>
Say it soft and it's almost like praying
It's almost like praying
It's almost like praying
It's almost like praying
It's almost like<U+0097>
Cabo Rojo, Corozal
Naguabo, Guaynabo
San Lorenzo y San German
San Sebastian, mi viejo San Juan
Isabela, Maricao
Fajardo, Dorado
Hormigueros, Humacao
Luquillo, Hatillo
Vega Alta, Vega Baja
Toa Alta, Toa Baja, Mayag<fc>ez
Yes!
Otra vez!
Yes!
Aguadilla, Quebradillas
Guayanilla, Juana Diaz
Y Cayey, hey
It's almost like praying
It's almost like praying
It's almost like praying
Puerto Rico, Puerto Rico<U+0085>
Arecibo, Guanica
Culebra, Las Piedras
Orocovis, Guayama
Gurabo, Maunabo
Aguas Buenas, Salinas
Rio Grande, Sabana Grande
Yabucoa, Florida
Pe<f1>uelas, Santa Isabel
Naranjito, Barranquitas
Carolina, Aibonito, Bayamon
Hey!
Rincon
Hey!
Barceloneta, Las Marias
Comerio, Moca, Ponce, Manati, Asi
It's almost like praying
Puerto Rico, Puerto Rico
Boricua, Boricua, Puerto Rico
Yo, Utuado, Aguada, Adjuntas y Caguas
Canovanas, Cata<f1>o, Juncos y Lajas
Jayuya, Villalba, Arroyo, te amo
La cueva de Camuy, los ba<f1>os de Coamo
Trujillo Alto, Ceiba, Ciales
La isla de Vieques, El grito de Lares
Yauco
Cidra
A<f1>asco
Patillas
Morovis, Loiza, lo hiciste
Puerto Rico...
Puerto Rico...
Puerto Rico, Puerto Rico...
Lai lo le lo le, le lo le lo lai<U+0085>
Puerto Rico!
Puerto Rico...
Puerto Rico, Borinquen
Cien por treinta y cinco la isla completa
Si somos Boricua, ha, ahora que se sepa
Puerto Rico<U+0085>
Puerto Rico
Asi es
Puerto Rico
Puerto Rico
Puerto Rico! Ho! Ho!
Puerto Rico, Puerto Rico, Puerto Rico, Puerto Rico
Tierra linda mia, yo te quiero
Oohhh
Puerto Rico...
And there's music, and there's music
And there's music playing-
Puerto Rico
Ay, Puerto Rico, eh
Mi Puerto Rico, ah
Viva
Puerto Rico, Puerto Rico, Puerto Rico
Say it soft and it's almost like praying
","False",1017
"1018","Lindsey Stirling","Hallelujah",1,NA,"2016-01-08",81,"December 7, 2015","Pop","Leonard cohen","Hallelujah 
","False",1018
"1019","Linkin Park","In The End",39,2,"2017-08-12",37,"October 9, 2001","Warner Bros., Nu-Metal, Rap, Rock","Joe hahn, Rob bourdon, Mike shinoda, Chester bennington, Brad delson","In the End 
It starts with one
One thing, I don't know why
It doesn't even matter how hard you try
Keep that in mind
I designed this rhyme to explain in due time
All I know
Time is a valuable thing
Watch it fly by as the pendulum swings
Watch it count down to the end of the day
The clock ticks life away
It's so unreal
You didn't look out below
Watch the time go right out the window
Tryin' to hold on, they didn't even know
I wasted it all just to watch you go
I kept everything inside
And even though I tried, it all fell apart
What it meant to me will eventually be a memory
Of a time when I tried so hard
I tried so hard and got so far
But in the end, it doesn't even matter
I had to fall to lose it all
But in the end, it doesn't even matter
One thing, I don't know why
It doesn't even matter how hard you try
Keep that in mind, I designed this rhyme
To remind myself how I tried so hard
In spite of the way you were mockin' me
Actin' like I was part of your property
Remembering all the times you fought with me
I'm surprised it got so far
Things aren't the way they were before
You wouldn't even recognize me anymore
Not that you knew me back then
But it all comes back to me in the end
You kept everything inside
And even though I tried, it all fell apart
What it meant to me will eventually
Be a memory of a time when I tried so hard
I tried so hard and got so far
But in the end, it doesn't even matter
I had to fall to lose it all
But in the end, it doesn't even matter
I've put my trust in you
Pushed as far as I can go
For all this
There's only one thing you should know
I've put my trust in you
Pushed as far as I can go
For all this
There's only one thing you should know
I tried so hard and got so far
But in the end, it doesn't even matter
I had to fall to lose it all
But in the end, it doesn't even matter
","False",1019
"1020","Linkin Park","Numb",33,11,"2017-08-12",34,"September 8, 2003","Nu-Metal, Alternative, Alternative Rock, Warner Bros., Rock","Joe hahn, Dave farrell, Rob bourdon, Brad delson, Mike shinoda, Chester bennington","Numb 
I'm tired of being what you want me to be
Feeling so faithless, lost under the surface
Don't know what you're expecting of me
Put under the pressure of walking in your shoes
Caught in the undertow
Just caught in the undertow
Every step that I take is another mistake to you
Caught in the undertow
Just caught in the undertow
I've become so numb, I can't feel you there
Become so tired, so much more aware
I'm becoming this, all I want to do
Is be more like me and be less like you!
Can't you see that you're smothering me?
Holding too tightly, afraid to lose control
'Cause everything that you thought I would be
Has fallen apart, right in front of you
Caught in the undertow
Just caught in the undertow
Every step that I take is another mistake to you
Caught in the undertow
Just caught in the undertow
And every second I waste is more than I can take
I've become so numb, I can't feel you there
Become so tired, so much more aware
I'm becoming this, all I want to do
Is be more like me and be less like you!
And I know I may end up failing, too
But I know you were just like me
With someone disappointed in you
I've become so numb, I can't feel you there
Become so tired, so much more aware
I'm becoming this, all I want to do
Is be more like me and be less like you!
I've become so numb, I can't feel you there
I'm tired of being what you want me to be
I've become so numb, I can't feel you there
I'm tired of being what you want me to be
","False",1020
"1021","Linkin Park, Kiiara","Heavy",19,45,"2017-08-19",96,"February 16, 2017","Electronic, Warner Bros., Pop, Alternative Rock","Justin tranter, Julia michaels, Brad delson, Chester bennington, Mike shinoda","Heavy 
I don<U+0092>t like my mind right now
Stacking up problems that are so unnecessary
Wish that I could slow things down
I wanna let go but there<U+0092>s comfort in the panic
And I drive myself crazy
Thinking everything's about me
Yeah, I drive myself crazy
'Cause I can<U+0092>t escape the gravity
I'm holding on
Why is everything so heavy?
Holding on
So much more than I can carry
I keep dragging around what's bringing me down
If I just let go, I'd be set free
Holding on
Why is everything so heavy?
You say that I'm paranoid
But I<U+0092>m pretty sure the world is out to get me
It<U+0092>s not like I make the choice
To let my mind stay so fucking messy
I know I'm not the center of the universe
But you keep spinning 'round me just the same
I know I'm not the center of the universe
But you keep spinning 'round me just the same
I'm holding on
Why is everything so heavy?
Holding on
So much more than I can carry
I keep dragging around what's bringing me down
If I just let go, I'd be set free
Holding on
Why is everything so heavy?
I know I'm not the center of the universe
But you keep spinning 'round me just the same
I know I'm not the center of the universe
But you keep spinning 'round me just the same
And I drive myself crazy
Thinking everything<U+0092>s about me
Holding on
Why is everything so heavy?
Holding on
So much more than I can carry
I keep dragging around what's bringing me down
If I just let go, I'd be set free
Holding on
Why is everything so heavy?
Why is everything so heavy?
Why is everything so heavy?
","True",1021
"1022","Little Big Town","Better Man",20,34,"2017-04-01",62,"October 20, 2016","Capitol Nashville, Country","Taylor swift","Better Man 
I know I<U+0092>m probably better off on my own
Than lovin' a man who didn<U+0092>t know
What he had when he had it
And I see the permanent damage you did to me
Never again, I just wish I could forget when it was magic
I wish it wasn<U+0092>t 4am, standing in the mirror
Saying to myself, you know you had to do it
I know the bravest thing I ever did was run
Sometimes, in the middle of the night, I can feel you again
But I just miss you, and I just wish you were a better man
And I know why we had to say goodbye
Like the back of my hand
And I just miss you, and I just wish you were a better man
A better man
I know I<U+0092>m probably better off all alone
Than needing a man who could change his mind
At any given minute
And it<U+0092>s always on your terms
I<U+0092>m hanging on every careless word
Hoping it might turn sweet again
Like it was in the beginning
But your jealousy, I can hear it now
You<U+0092>re talking down to me like I<U+0092>ll always be around
You push my love away like it<U+0092>s some kind of loaded gun
Boy, you never thought I<U+0092>d run
Sometimes, in the middle of the night, I can feel you again
But I just miss you, and I just wish you were a better man
And I know why we had to say goodbye
Like the back of my hand
And I just miss you, and I just wish you were a better man
A better man
Better man
I hold onto this pride because these days it<U+0092>s all I have
And I gave you my best and we both know you can<U+0092>t say that
You can<U+0092>t say that
I wish you were a better man
I wonder what we would<U+0092>ve become
If you were a better man
We might still be in love
If you were a better man
You would<U+0092>ve been the one
If you were a better man
Yeah, yeah
Sometimes, in the middle of the night, I can feel you again
But I just miss you, and I just wish you were a better man
And I know why we had to say goodbye
Like the back of my hand
And I just miss you and I just wish you were a better man
A better man
Better man
We might still be in love, if you were a better man
Better man
","False",1022
"1023","Little Big Town","Day Drinking",20,40,"2014-12-19",82,"June 9, 2014","Capitol Nashville, Country","Barry dean, Troy verges, Phillip sweet, Jimi westbrook, Karen fairchild","Day Drinking 
Everybody's always waiting on Friday
Watching that clock and sitting on go
Whatcha' say we find a little warm sunshine
An open umbrella on the patio
I don't need a reason or a happy hour
Ain't hangin' 'round for a fireworks show
Get a head start, a little sip of somethin'
Off and running, here we go
One, two, three, here we go
Don't wanna wait 'til the sun's sinking
We could be feeling alright
I know you know what I'm thinking
Why don't we do a little day drinking?
Why don't we do a little day drinking?
Blame it on the work day
Blame it on the heatwave
Blame it on the tick-tock movin' too slow
Blame it on any old thing you want to
Ready, get set, baby, here we go
Don't wanna wait 'til the sun's sinking
We could be feeling alright
I know you know what I'm thinking
Why don't we do a little day drinking?
Day drinking, d-d-d-day drinking
Day drinking, d-d-d-day drinking
Why don't we do a little day drinking?
Don't wanna wait 'til the sun's sinking
We could be feeling alright
I know you know what I'm thinking
Why don't we do a little day drinking?
Don't wanna wait 'til the sun's sinking
We could be feeling all right
I know you know what I'm thinking
Why don't we do a little day drinking?
Why don't we do a little day drinking?
Why don't we do a little day drinking?
","False",1023
"1024","Little Big Town","Girl Crush",24,18,"2015-08-14",42,"December 1, 2014","Capitol Nashville, Ballad, Country, Rock","Lori mckenna, Liz rose, Hillary lindsey","Girl Crush 
I gotta girl crush, hate to admit it but
I gotta heart rush, ain<U+0092>t slowin<U+0092> down
I got it real bad, want everything she has
That smile and the midnight laugh she<U+0092>s givin<U+0092> you now
I wanna taste her lips, yeah, <U+0091>cause they taste like you
I wanna drown myself in a bottle of her perfume
I want her long blonde hair, I want her magic touch
Yeah, <U+0091>cause maybe then, you<U+0092>d want me just as much
I gotta girl crush, I gotta girl crush
I don<U+0092>t get no sleep, I don<U+0092>t get no peace
Thinkin<U+0092> about her under your bed sheets
The way that she<U+0092>s whisperin<U+0092>, the way that she<U+0092>s pullin<U+0092> you in
Lord knows I<U+0092>ve tried, I can<U+0092>t get her off my mind
I wanna taste her lips, yeah, <U+0091>cause they taste like you
I wanna drown myself in a bottle of her perfume
I want her long blonde hair, I want her magic touch
Yeah, <U+0091>cause maybe then, you<U+0092>d want me just as much
I gotta girl crush, I gotta girl crush
I gotta girl crush, hate to admit it but
I gotta heart rush, it ain<U+0092>t slowin<U+0092> down
","True",1024
"1025","Little Mix","Black Magic",8,67,"2015-10-16",89,"May 21, 2015","Girl Group, UK, Pop","Ed drewett, Camille purcell, Henrik michelsen, Edvard frre erfjord","Black Magic 
All the girls on the block knocking at my door
Wanna know what it is, make the boys want more
Is your lover playing on your side?
Said he loves you, but he ain't got time
Here's the answer, come and get it
At a knocked down price Hey
Full of honey just to make him sweet
Crystal balling just to help him see
What he's been missing, so come and get it
While you've still got time Hey
Get your boy on his knees
And repeat after me, say
Take a sip of my secret potion
I'll make you fall in love
For a spell that can't be broken
One drop should be enough
Boy, you belong to me
I've got the recipe
And it's called black magic
And it's called black magic
Take a sip of my secret potion
One taste and you'll be mine
It's a spell that can't be broken
It'll keep you up all night
Boy, you belong to me
I've got the recipe
And it's called black magic
And it's called black magic
If you're looking for Mr. Right
Need that magic to change him over night
Here's the answer, come and get it
While you've still got time Hey
Get your boy on his knees
And repeat after me, say
Take a sip of my secret potion
I'll make you fall in love
For a spell that can't be broken
One drop should be enough
Boy, you belong to me
I've got the recipe
And it's called black magic
And it's called black magic
Take a sip of my secret potion
One taste and you'll be mine
It's a spell that can't be broken
It'll keep you up all night
Boy, you belong to me
I've got the recipe
And it's called black magic
And it's called black magic
All the girls on the block knocking at my door
I got the recipe
Wanna know what it is, make the boys want more
Now you belong to me
All the girls on the block knocking at my door
I got the recipe
Wanna know what it is, make the boys want more
Now you belong to me
Take a sip of my secret potion
I'll make you fall in love
For a spell that can't be broken
One drop should be enough
Boy, you belong to me
I got the recipe
And it's called, and it's called
And it's called black magic, woah!
Take a sip of my secret potion
One taste and you'll be mine
It's a spell that can't be broken
It'll keep you up all night
Boy, you belong to me
I've got the recipe
And it's called black magic
And it's called black magic
Falling in love, falling in love
Falling in love, falling in love
Falling in love, falling in love
Falling in love, falling in love
Magic
","False",1025
"1026","Little Mix","Shout Out To My Ex",3,69,"2016-12-03",95,"October 16, 2016","Girl Group, UK, Pop","Edvard frre erfjord, Iain james, Jade thirlwall, Perrie edwards, Jesy nelson, Leigh anne pinnock, Henrik michelsen, Ed drewett, Camille purcell","Shout Out to My Ex 
This is a shout out to my ex
Heard he in love with some other chick
Yeah yeah, that hurt me, I'll admit
Forget that boy, I'm over it
I hope she gettin<U+0092> better sex
Hope she ain't fakin<U+0092> it like I did, babe
Took four long years to call it quits
Forget that boy, I'm over it
Guess I should say thank you
For the ""hate yous"" and the tattoos
Oh baby, I'm cool by the way
Ain't sure I loved you anyway
Go 'head, babe, I'ma live my life, my life, yeah
Shout out to my ex, you're really quite the man
You made my heart break and that made me who I am
Here's to my ex, hey, look at me now
Well, I, I'm all the way up
I swear you'll never bring me down
Shout out to my ex, you're really quite the man
You made my heart break and that made me who I am
Here's to my ex, hey, look at me now
Well, I'm, I'm all the way up
I swear you'll never, you'll never bring me down
Oh, I deleted all your pics
Then blocked your number from my phone
Yeah yeah, you took all you could get
But you ain't getting this love no more
<U+0091>Cause now I'm living so legit
Even though you broke my heart in two, baby
But I snapped right back, I'm so brand new, baby
Boy, read my lips, I'm over you, over you, uh
Guess I should say thank you
For the ""hate yous"" and the tattoos
Oh baby, I'm cool by the way
Ain't sure I loved you anyway
Go 'head, babe, I'ma live my life, my life, yeah
Shout out to my ex, you're really quite the man
You made my heart break and that made me who I am
Here's to my ex, hey, look at me now
Well, I'm, I'm all the way up
I swear you'll never bring me down
Shout out to my ex, you're really quite the man
You made my heart break and that made me who I am
Here's to my ex, hey, look at me now
Well, I'm, I'm all the way up
I swear you'll never, you'll never bring me down
You<U+0092>ll never bring me down
You'll never bring me down, yeah
Shout out to my ex, you're really quite the man
You made my heart break and that made me who I am
Here's to my ex, hey, look at me now
Well, I'm all the way up
I swear you'll never, you'll never bring me down
Shout out to my ex, you're really quite the man
You're quite the man
You made my heart break and that made me who I am
Here's to my ex, hey, look at me now
Well, I'm, I'm all the way up, I swear you'll never bring me down
You'll never bring me down
Shout out to my ex, you're really quite the man
You made my heart break and that made me who I am
Here's to my ex, hey, look at me now
Won't you just look at me now
Well, I'm, I'm all the way up
I swear you'll never, you'll never bring me down
Yeah, oh, oh na na
You'll never bring me down
","False",1026
"1027","LOCASH","I Know Somebody",11,52,"2016-11-26",92,"","Country","Rhett akins, Jeremy stover, Ross copperman","I Know Somebody 
Girl I've never seen you in this town
If you need somebody to show you around
Well, I know somebody
It's a little too loud to talk in here
And your eyes are saying you wanna disappear
Well, I know a place and
I know somebody
Somebody with a gassed up truck
Sitting right outside
It's ready to roll if you're ready to ride
Sunroof open with the moonlit sky
Yeah, I know a guy
I know somebody that's lost all in your smile
That can love you like a song on the radio dial
If that's what you want tonight
I know somebody
And you're looking right in his eyes
I know somebody I know somebody
I know somebody I know somebody
I'm loving the way you act so shy
Like you ain't so sure
Like you can't decide
But I heard you tell your friends
That you know somebody
That makes you laugh
That can get you home
That might make you fall <U+0091>fore the night is gone
So come on, you know
I'm that somebody
Yeah
Somebody with a gassed up truck
Sitting right outside
It's ready to roll if you're ready to ride
Sunroof open with the moonlit sky
Yeah, I know a guy
I know somebody that's lost all in your smile
That can love you like a song on the radio dial
If that's what you want tonight
I know somebody
And you're looking right in his eyes
I know somebody I know somebody
I know somebody I know somebody
I know somebody
That's looking for a girl like you
Could fall in a kiss or two
Baby tell me what you wanna do
Cause I know
Somebody with a gassed up truck
Sitting right outside
It's ready to roll if you're ready to ride
Sunroof open with the moonlit sky
Yeah, I know a guy
I know somebody that's lost all in your smile
That can love you like a song on the radio dial
If that's what you want tonight
I know somebody
And you're looking right in his eyes
I know somebody I know somebody
I know somebody I know somebody
I know somebody I know somebody
I know somebody I know somebody
I know somebody
And you<U+0092>re looking right in his eyes
I know somebody I know somebody
I know somebody I know somebody
I know somebody
","False",1027
"1028","LOCASH","I Love This Life",18,56,"2016-03-12",99,"","Country","Danny myrick, Chris janson, Chris lucas, Preston brust","I Love This Life 
I love my boots broke in, I love my camo hat
Don<U+0092>t mind a little paint on my jeans, yeah I roll like that
I love driving my truck across the railroad track
If you hit it too quick, it<U+0092>ll hit you right back
I love a fresh cut field with a first frost on
How it shines like gold when the sun turns on
I love the sound of them wheels, my baby singing along
When <U+0093>Boys Of Summer<U+0094> comes on
I love my small town world
I love a country girl
I love a Friday night
Man I love this life
The sound of an ol<U+0092> dirt road road
Rolling through mind
Man I love, man I love
Man I love this life
I love that county line bar where they all know my drink
The way she throws her hands up when that cover band plays
I love that taste of her lips when she<U+0092>s been sipping that wine
I still get drunk on her every time
I love my small town world
I love a country girl
I love a Friday night
Man I love this life
The sound of an ol<U+0092> dirt road road
Rolling through mind
Man, I love, man I love
Man, I love this life
Oh-o-o-o-oh
Man I live this life
Oh-o-o-o-oh
Man, I love this life
I love this life, I love this life, I love this life
I love that ragged old barn that my grandpa made
It was my whole world back in my innocent days
I love that little white church, out on 109
It<U+0092>s where I hit my knees and I thanked the Lord for this life of mine
I love my small town world
I love a country girl
I love a Friday night
Man I love this life
The sound of an ol<U+0092> dirt road
Rolling through mind
Man I love, man I love
Man, I love this life
Oh-o-o-o-oh
Man I live this life
Oh-o-o-o-oh
Man, I love this life
Oh-o-o-o-oh
Man I live this life
Oh-o-o-o-oh
Man, I love this life
","False",1028
