Artists,Name,Peak position,Week,Weekly rank,Weeks on chart
P!nk,Try,56,2012-11-23,69,3
Easton Corbin,Lovin' You Is Fun,57,2012-11-23,70,19
Taylor Swift,Begin Again,7,2012-11-23,71,6
Ludacris Featuring Usher & David Guetta,Rest Of My Life,,2012-11-23,72,
Taylor Swift,I Knew You Were Trouble.,3,2012-11-23,73,4
Rick Ross Featuring Wale & Drake,Diced Pineapples,74,2012-11-23,74,6
Randy Houser,How Country Feels,75,2012-11-23,75,6
Nicki Minaj,Pound The Alarm,15,2012-11-23,76,16
Brandy Featuring Chris Brown,Put It Down,65,2012-11-23,77,13
Greg Bates,Did It For The Girl,78,2012-11-23,78,8
"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",fuckin Problems,73,2012-11-23,79,2
Beyonce,Dance For You,78,2012-11-23,80,10
Pitbull Featuring TJR,Don't Stop The Party,81,2012-11-23,81,4
Kenny Chesney,El Cerrito Place,82,2012-11-23,82,5
Imagine Dragons,Radioactive,83,2012-11-23,83,11
Christina Aguilera,Your Body,34,2012-11-23,84,8
T.I. Featuring Lil Wayne,Ball,50,2012-11-23,85,4
David Guetta Featuring Chris Brown & Lil Wayne,I Can Only Imagine,44,2012-11-23,86,14
Trey Songz,Dive In,77,2012-11-23,87,11
Chris Brown,Don't Judge Me,88,2012-11-23,88,2
Kelly Clarkson Featuring Vince Gill,Don't Rush,89,2012-11-23,89,2
Passion Pit,Take A Walk,85,2012-11-23,90,11
The Weeknd,Wicked Games,91,2012-11-23,91,2
Meek Mill Featuring Kirko Bangz,Young & Gettin' It,92,2012-11-23,92,2
Jason Aldean With Luke Bryan & Eric Church,The Only Way I Know,,2012-11-23,93,
Kendrick Lamar Featuring Drake,Poetic Justice,76,2012-11-23,94,3
The Wanted,I Found You,,2012-11-23,95,
Kelly Clarkson,Catch My Breath,54,2012-11-23,96,3
Little Big Town,Tornado,,2012-11-23,97,
Bridgit Mendler,Ready Or Not,78,2012-11-23,98,4
Kelly Rowland Featuring Lil Wayne,Ice,99,2012-11-23,99,4
"DJ Drama Featuring 2 Chainz, Meek Mill & Jeremih",My Moment,89,2012-11-23,100,6
Maroon 5,One More Night,1,2012-11-16,1,0
fun.,Some Nights,3,2012-11-16,3,37
Rihanna,Diamonds,4,2012-11-16,4,6
Taylor Swift,We Are Never Ever Getting Back Together,1,2012-11-16,5,13
Ke$ha,Die Young,4,2012-11-16,6,6
Bruno Mars,Locked Out Of Heaven,7,2012-11-16,7,5
Justin Bieber Featuring Big Sean,As Long As You Love Me,6,2012-11-16,8,20
Alex Clare,Too Close,7,2012-11-16,9,32
Ne,Let Me Love You,9,2012-11-16,10,14
Chris Brown,Don't Wake Me Up,10,2012-11-16,11,19
Flo Rida,I Cry,12,2012-11-16,12,6
Phillip Phillips,Home,9,2012-11-16,13,19
Owl City & Carly Rae Jepsen,Good Time,8,2012-11-16,14,19
P!nk,Blow Me,5,2012-11-16,15,18
"Kanye West, Jay",Clique,12,2012-11-16,16,9
The Lumineers,Ho Hey,17,2012-11-16,17,22
Miguel,Adorn,18,2012-11-16,18,14
Ellie Goulding,Lights,2,2012-11-16,19,46
Florida Georgia Line Featuring Nelly,Cruise,20,2012-11-16,20,12
Carrie Underwood,Blown Away,20,2012-11-16,21,18
Alicia Keys Featuring Nicki Minaj,Girl On Fire,22,2012-11-16,22,9
Hunter Hayes,Wanted,16,2012-11-16,23,28
Train,50 Ways To Say Goodbye,20,2012-11-16,24,17
Kendrick Lamar,Swimming Pools,25,2012-11-16,25,12
Neon Trees,Everybody Talks,6,2012-11-16,26,34
Lee Brice,Hard To Love,27,2012-11-16,27,21
Flo Rida,Whistle,1,2012-11-16,28,25
Luke Bryan,Kiss Tomorrow Goodbye,29,2012-11-16,29,11
Carly Rae Jepsen,Call Me Maybe,1,2012-11-16,30,37
Imagine Dragons,It's Time,30,2012-11-16,31,22
Gotye Featuring Kimbra,Somebody That I Used To Know,1,2012-11-16,32,44
Katy Perry,Wide Awake,2,2012-11-16,33,24
Maroon 5 Featuring Wiz Khalifa,Payphone,2,2012-11-16,34,29
Ed Sheeran,The A Team,34,2012-11-16,35,17
David Guetta Featuring Sia,Titanium,7,2012-11-16,36,30
Enrique Iglesias Featuring Sammy Adams,Finally Found You,24,2012-11-16,37,8
Mumford & Sons,I Will Wait,23,2012-11-16,38,13
One Direction,Live While We're Young,3,2012-11-16,39,5
"French Montana Featuring Rick Ross, Drake, Lil Wayne",Pop That,36,2012-11-16,40,17
"Kanye West, Big Sean, Pusha T, 2 Chainz",Mercy,13,2012-11-16,41,31
Juicy J Featuring Lil Wayne & 2 Chainz,Bandz A Make Her Dance,42,2012-11-16,42,8
Jason Mraz,I Won't Give Up,8,2012-11-16,43,44
Frank Ocean,Thinkin Bout You,39,2012-11-16,44,17
Demi Lovato,Give Your Heart A Break,16,2012-11-16,45,31
The Script Featuring will.i.am,Hall Of Fame,46,2012-11-16,46,6
Miranda Lambert,Fastest Girl In Town,47,2012-11-16,47,15
2 Chainz Featuring Kanye West,Birthday Song,47,2012-11-16,48,13
2 Chainz Featuring Drake,No Lie,24,2012-11-16,49,26
OneRepublic,Feel Again,50,2012-11-16,50,10
Jake Owen,The One That Got Away,51,2012-11-16,51,13
Trey Songz Featuring T.I.,2 Reasons,43,2012-11-16,52,18
The Band Perry,Better Dig Two,,2012-11-16,53,
Justin Bieber Featuring Nicki Minaj,Beauty And A Beat,54,2012-11-16,54,4
Future,Turn On The Lights,50,2012-11-16,55,13
Adele,Skyfall,8,2012-11-16,56,5
Swedish House Mafia Featuring John Martin,Don't You Worry Child,55,2012-11-16,57,7
Jason Aldean,Take A Little Ride,12,2012-11-16,58,16
Taylor Swift,I Knew You Were Trouble.,3,2012-11-16,59,3
Rascal Flatts,Come Wake Me Up,59,2012-11-16,60,15
Lil Wayne Featuring Detail,No Worries,58,2012-11-16,61,9
Easton Corbin,Lovin' You Is Fun,57,2012-11-16,62,18
Zac Brown Band,Goodbye In Her Eyes,63,2012-11-16,63,4
Kip Moore,Beer Money,63,2012-11-16,64,7
Justin Moore,Til My Last Day,65,2012-11-16,65,8
Macklemore & Ryan Lewis Featuring Wanz,Thrift Shop,66,2012-11-16,66,5
Muse,Madness,60,2012-11-16,67,11
Taylor Swift,Begin Again,7,2012-11-16,68,5
Nicki Minaj,Va Va Voom,69,2012-11-16,69,3
Ellie Goulding,Anything Could Happen,64,2012-11-16,70,4
Brad Paisley,Southern Comfort Zone,71,2012-11-16,71,5
Eric Church,Creepin',72,2012-11-16,72,11
"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",fuckin Problems,,2012-11-16,73,
Brandy Featuring Chris Brown,Put It Down,65,2012-11-16,74,12
Christina Aguilera,Your Body,34,2012-11-16,75,7
Nicki Minaj,Pound The Alarm,15,2012-11-16,76,15
Gary Allan,Every Storm,77,2012-11-16,77,5
David Guetta Featuring Chris Brown & Lil Wayne,I Can Only Imagine,44,2012-11-16,78,13
Beyonce,Dance For You,78,2012-11-16,79,9
Greg Bates,Did It For The Girl,80,2012-11-16,80,7
Randy Houser,How Country Feels,81,2012-11-16,81,5
Rick Ross Featuring Wale & Drake,Diced Pineapples,82,2012-11-16,82,5
Trey Songz,Dive In,77,2012-11-16,83,10
Usher,Numb,69,2012-11-16,84,7
Bridgit Mendler,Ready Or Not,78,2012-11-16,85,3
Kenny Chesney,El Cerrito Place,86,2012-11-16,86,4
Imagine Dragons,Radioactive,87,2012-11-16,87,10
T.I. Featuring Lil Wayne,Ball,50,2012-11-16,88,3
Taylor Swift,Red,6,2012-11-16,89,4
Passion Pit,Take A Walk,85,2012-11-16,90,10
Pitbull Featuring TJR,Don't Stop The Party,89,2012-11-16,91,3
Kendrick Lamar Featuring Drake,Poetic Justice,76,2012-11-16,92,2
P!nk,Try,56,2012-11-16,93,2
"DJ Drama Featuring 2 Chainz, Meek Mill & Jeremih",My Moment,89,2012-11-16,94,5
Chris Brown,Don't Judge Me,,2012-11-16,95,
The Weeknd,Wicked Games,,2012-11-16,96,
Kelly Clarkson Featuring Vince Gill,Don't Rush,,2012-11-16,97,
Thompson Square,If I Didn't Have You,,2012-11-16,98,
Dierks Bentley,Tip It On Back,,2012-11-16,99,
Kelly Rowland Featuring Lil Wayne,Ice,100,2012-11-16,100,3
Maroon 5,One More Night,1,2012-11-09,1,9
fun.,Some Nights,3,2012-11-09,3,36
Ke$ha,Die Young,4,2012-11-09,4,5
Rihanna,Diamonds,5,2012-11-09,5,5
Justin Bieber Featuring Big Sean,As Long As You Love Me,6,2012-11-09,6,19
Bruno Mars,Locked Out Of Heaven,7,2012-11-09,7,4
Alex Clare,Too Close,7,2012-11-09,8,31
Ne,Let Me Love You,9,2012-11-09,9,13
Chris Brown,Don't Wake Me Up,10,2012-11-09,10,18
Taylor Swift,We Are Never Ever Getting Back Together,1,2012-11-09,11,12
P!nk,Blow Me,5,2012-11-09,12,17
Owl City & Carly Rae Jepsen,Good Time,8,2012-11-09,13,18
Phillip Phillips,Home,9,2012-11-09,14,18
Flo Rida,I Cry,15,2012-11-09,15,5
"Kanye West, Jay",Clique,12,2012-11-09,16,8
Ellie Goulding,Lights,2,2012-11-09,17,45
Miguel,Adorn,18,2012-11-09,18,13
The Lumineers,Ho Hey,19,2012-11-09,19,21
Neon Trees,Everybody Talks,6,2012-11-09,20,33
Train,50 Ways To Say Goodbye,20,2012-11-09,21,16
Flo Rida,Whistle,1,2012-11-09,22,24
Carrie Underwood,Blown Away,20,2012-11-09,23,17
Florida Georgia Line Featuring Nelly,Cruise,24,2012-11-09,24,11
Carly Rae Jepsen,Call Me Maybe,1,2012-11-09,25,36
Gotye Featuring Kimbra,Somebody That I Used To Know,1,2012-11-09,26,43
Katy Perry,Wide Awake,2,2012-11-09,27,23
Alicia Keys Featuring Nicki Minaj,Girl On Fire,28,2012-11-09,28,8
David Guetta Featuring Sia,Titanium,7,2012-11-09,29,29
Imagine Dragons,It's Time,30,2012-11-09,30,21
Enrique Iglesias Featuring Sammy Adams,Finally Found You,24,2012-11-09,31,7
Kendrick Lamar,Swimming Pools,32,2012-11-09,32,11
Maroon 5 Featuring Wiz Khalifa,Payphone,2,2012-11-09,33,28
Ed Sheeran,The A Team,34,2012-11-09,34,16
Lee Brice,Hard To Love,35,2012-11-09,35,20
"French Montana Featuring Rick Ross, Drake, Lil Wayne",Pop That,36,2012-11-09,36,16
Mumford & Sons,I Will Wait,23,2012-11-09,37,12
"Kanye West, Big Sean, Pusha T, 2 Chainz",Mercy,13,2012-11-09,38,30
One Direction,Live While We're Young,3,2012-11-09,39,4
Luke Bryan,Kiss Tomorrow Goodbye,40,2012-11-09,40,10
Hunter Hayes,Wanted,16,2012-11-09,41,27
Demi Lovato,Give Your Heart A Break,16,2012-11-09,42,30
Juicy J Featuring Lil Wayne & 2 Chainz,Bandz A Make Her Dance,43,2012-11-09,43,7
Taylor Swift,22,,2012-11-09,44,
Frank Ocean,Thinkin Bout You,39,2012-11-09,45,16
2 Chainz Featuring Drake,No Lie,24,2012-11-09,46,25
2 Chainz Featuring Kanye West,Birthday Song,47,2012-11-09,47,12
Trey Songz Featuring T.I.,2 Reasons,43,2012-11-09,48,17
Jason Mraz,I Won't Give Up,8,2012-11-09,49,43
OneRepublic,Feel Again,50,2012-11-09,50,9
Jake Owen,The One That Got Away,51,2012-11-09,51,12
Adele,Skyfall,8,2012-11-09,52,4
The Script Featuring will.i.am,Hall Of Fame,53,2012-11-09,53,5
Future,Turn On The Lights,50,2012-11-09,54,12
Swedish House Mafia Featuring John Martin,Don't You Worry Child,55,2012-11-09,55,6
Miranda Lambert,Fastest Girl In Town,56,2012-11-09,56,14
Easton Corbin,Lovin' You Is Fun,57,2012-11-09,57,17
Jason Aldean,Take A Little Ride,12,2012-11-09,58,15
Rascal Flatts,Come Wake Me Up,59,2012-11-09,59,14
Christina Aguilera,Your Body,34,2012-11-09,60,6
Muse,Madness,60,2012-11-09,61,10
David Guetta Featuring Chris Brown & Lil Wayne,I Can Only Imagine,44,2012-11-09,62,12
Kip Moore,Beer Money,63,2012-11-09,63,6
Nicki Minaj,Pound The Alarm,15,2012-11-09,64,14
Taylor Swift,I Almost Do,,2012-11-09,65,
Lil Wayne Featuring Detail,No Worries,58,2012-11-09,66,8
Taylor Swift Featuring Ed Sheeran,Everything Has Changed,,2012-11-09,67,
Justin Moore,Til My Last Day,68,2012-11-09,68,7
Ellie Goulding,Anything Could Happen,64,2012-11-09,69,3
Justin Bieber Featuring Nicki Minaj,Beauty And A Beat,70,2012-11-09,70,3
Brandy Featuring Chris Brown,Put It Down,65,2012-11-09,71,11
Usher,Numb,69,2012-11-09,72,6
Cher Lloyd,Want U Back,12,2012-11-09,73,20
Eric Church,Creepin',73,2012-11-09,74,10
T.I. Featuring Lil Wayne,Ball,50,2012-11-09,75,2
Kendrick Lamar Featuring Drake,Poetic Justice,,2012-11-09,76,
Macklemore & Ryan Lewis Featuring Wanz,Thrift Shop,77,2012-11-09,77,4
Bridgit Mendler,Ready Or Not,78,2012-11-09,78,2
Beyonce,Dance For You,78,2012-11-09,79,8
Taylor Swift,All Too Well,,2012-11-09,80,
Gary Allan,Every Storm,78,2012-11-09,81,4
Zac Brown Band,Goodbye In Her Eyes,82,2012-11-09,82,3
Trey Songz,Dive In,77,2012-11-09,83,9
Rick Ross Featuring Wale & Drake,Diced Pineapples,84,2012-11-09,84,4
Randy Houser,How Country Feels,85,2012-11-09,85,4
Greg Bates,Did It For The Girl,85,2012-11-09,86,6
Brad Paisley,Southern Comfort Zone,73,2012-11-09,87,4
Kenny Chesney,El Cerrito Place,88,2012-11-09,88,3
Passion Pit,Take A Walk,85,2012-11-09,89,9
Imagine Dragons,Radioactive,90,2012-11-09,90,9
Taylor Swift,Stay Stay Stay,,2012-11-09,91,
Sam Palladio & Clare Bowen,Fade Into You,,2012-11-09,92,
Kelly Clarkson,Catch My Breath,54,2012-11-09,93,2
Kendrick Lamar Featuring MC Eiht,m.A.A.d City,,2012-11-09,94,
Meek Mill Featuring Kirko Bangz,Young & Gettin' It,,2012-11-09,95,
"DJ Drama Featuring 2 Chainz, Meek Mill & Jeremih",My Moment,89,2012-11-09,96,4
Mumford & Sons,Babel,60,2012-11-09,97,5
Nicki Minaj,Va Va Voom,79,2012-11-09,98,2
Pitbull Featuring TJR,Don't Stop The Party,89,2012-11-09,99,2
Kelly Rowland Featuring Lil Wayne,Ice,100,2012-11-09,100,2
Maroon 5,One More Night,1,2012-11-02,1,8
fun.,Some Nights,3,2012-11-02,3,35
Taylor Swift,We Are Never Ever Getting Back Together,1,2012-11-02,4,11
Ke$ha,Die Young,5,2012-11-02,5,4
Justin Bieber Featuring Big Sean,As Long As You Love Me,6,2012-11-02,6,18
Alex Clare,Too Close,7,2012-11-02,7,30
Rihanna,Diamonds,8,2012-11-02,8,4
Ne,Let Me Love You,9,2012-11-02,9,12
P!nk,Blow Me,5,2012-11-02,10,16
Chris Brown,Don't Wake Me Up,11,2012-11-02,11,17
Owl City & Carly Rae Jepsen,Good Time,8,2012-11-02,12,17
Taylor Swift,State Of Grace,,2012-11-02,13,
Ellie Goulding,Lights,2,2012-11-02,14,44
Bruno Mars,Locked Out Of Heaven,15,2012-11-02,15,3
Neon Trees,Everybody Talks,6,2012-11-02,16,32
Phillip Phillips,Home,9,2012-11-02,17,17
"Kanye West, Jay",Clique,12,2012-11-02,18,7
Flo Rida,Whistle,1,2012-11-02,19,23
Train,50 Ways To Say Goodbye,20,2012-11-02,20,15
Carrie Underwood,Blown Away,20,2012-11-02,21,16
Miguel,Adorn,22,2012-11-02,22,12
Taylor Swift,I Knew You Were Trouble.,3,2012-11-02,23,2
Flo Rida,I Cry,24,2012-11-02,24,4
Carly Rae Jepsen,Call Me Maybe,1,2012-11-02,25,35
Gotye Featuring Kimbra,Somebody That I Used To Know,1,2012-11-02,26,42
The Lumineers,Ho Hey,27,2012-11-02,27,20
Katy Perry,Wide Awake,2,2012-11-02,28,22
Florida Georgia Line Featuring Nelly,Cruise,29,2012-11-02,29,10
David Guetta Featuring Sia,Titanium,7,2012-11-02,30,28
One Direction,Live While We're Young,3,2012-11-02,31,3
Maroon 5 Featuring Wiz Khalifa,Payphone,2,2012-11-02,32,27
"Kanye West, Big Sean, Pusha T, 2 Chainz",Mercy,13,2012-11-02,33,29
Mumford & Sons,I Will Wait,23,2012-11-02,34,11
Imagine Dragons,It's Time,33,2012-11-02,35,20
Enrique Iglesias Featuring Sammy Adams,Finally Found You,24,2012-11-02,36,6
"French Montana Featuring Rick Ross, Drake, Lil Wayne",Pop That,37,2012-11-02,37,15
Hunter Hayes,Wanted,16,2012-11-02,38,26
Demi Lovato,Give Your Heart A Break,16,2012-11-02,39,29
Lee Brice,Hard To Love,40,2012-11-02,40,19
Ed Sheeran,The A Team,41,2012-11-02,41,15
Luke Bryan,Kiss Tomorrow Goodbye,42,2012-11-02,42,9
2 Chainz Featuring Drake,No Lie,24,2012-11-02,43,24
Jason Mraz,I Won't Give Up,8,2012-11-02,44,42
Adele,Skyfall,8,2012-11-02,45,3
Juicy J Featuring Lil Wayne & 2 Chainz,Bandz A Make Her Dance,46,2012-11-02,46,6
Alicia Keys Featuring Nicki Minaj,Girl On Fire,37,2012-11-02,47,7
Trey Songz Featuring T.I.,2 Reasons,43,2012-11-02,48,16
2 Chainz Featuring Kanye West,Birthday Song,49,2012-11-02,49,11
T.I. Featuring Lil Wayne,Ball,,2012-11-02,50,
Nicki Minaj,Pound The Alarm,15,2012-11-02,51,13
Frank Ocean,Thinkin Bout You,39,2012-11-02,52,15
Future,Turn On The Lights,50,2012-11-02,53,11
Kelly Clarkson,Catch My Breath,,2012-11-02,54,
Kendrick Lamar,Swimming Pools,55,2012-11-02,55,10
OneRepublic,Feel Again,56,2012-11-02,56,8
Jake Owen,The One That Got Away,57,2012-11-02,57,11
David Guetta Featuring Chris Brown & Lil Wayne,I Can Only Imagine,44,2012-11-02,58,11
Christina Aguilera,Your Body,34,2012-11-02,59,5
Miranda Lambert,Fastest Girl In Town,60,2012-11-02,60,13
Easton Corbin,Lovin' You Is Fun,59,2012-11-02,61,16
Rascal Flatts,Come Wake Me Up,59,2012-11-02,62,13
Jason Aldean,Take A Little Ride,12,2012-11-02,63,14
Ellie Goulding,Anything Could Happen,64,2012-11-02,64,2
Brandy Featuring Chris Brown,Put It Down,65,2012-11-02,65,10
Muse,Madness,60,2012-11-02,66,9
Kip Moore,Beer Money,67,2012-11-02,67,5
Cher Lloyd,Want U Back,12,2012-11-02,68,19
Usher,Numb,69,2012-11-02,69,5
The Script Featuring will.i.am,Hall Of Fame,70,2012-11-02,70,4
Justin Bieber Featuring Nicki Minaj,Beauty And A Beat,71,2012-11-02,71,2
Lil Wayne Featuring Detail,No Worries,58,2012-11-02,72,7
Eric Church,Creepin',73,2012-11-02,73,9
Little Big Town,Pontoon,22,2012-11-02,74,20
Swedish House Mafia Featuring John Martin,Don't You Worry Child,68,2012-11-02,75,5
Justin Moore,Til My Last Day,76,2012-11-02,76,6
Taylor Swift,Red,6,2012-11-02,77,3
Taylor Swift,Begin Again,7,2012-11-02,78,4
Beyonce,Dance For You,78,2012-11-02,79,7
Tim McGraw,Truck Yeah,57,2012-11-02,80,16
Trey Songz,Dive In,77,2012-11-02,81,8
Macklemore & Ryan Lewis Featuring Wanz,Thrift Shop,82,2012-11-02,82,3
Mumford & Sons,Babel,60,2012-11-02,83,4
Brad Paisley,Southern Comfort Zone,73,2012-11-02,84,3
Passion Pit,Take A Walk,85,2012-11-02,85,8
Randy Houser,How Country Feels,86,2012-11-02,86,3
Rick Ross Featuring Wale & Drake,Diced Pineapples,87,2012-11-02,87,3
Greg Bates,Did It For The Girl,85,2012-11-02,88,5
Gary Allan,Every Storm,78,2012-11-02,89,3
Kenny Chesney,El Cerrito Place,90,2012-11-02,90,2
Zac Brown Band,Goodbye In Her Eyes,91,2012-11-02,91,2
Jason Aldean,Night Train,,2012-11-02,92,
Imagine Dragons,Radioactive,90,2012-11-02,93,8
matchbox twenty,She's So Mean,40,2012-11-02,94,17
"DJ Drama Featuring 2 Chainz, Meek Mill & Jeremih",My Moment,89,2012-11-02,95,3
Calvin Harris Featuring Florence Welch,Sweet Nothing,,2012-11-02,96,
Karmin,Hello,62,2012-11-02,97,8
Bridgit Mendler,Ready Or Not,,2012-11-02,98,
Meek Mill Featuring Drake,Amen,57,2012-11-02,99,18
Mumford & Sons,Whispers In The Dark,81,2012-11-02,100,4
Maroon 5,One More Night,1,2012-10-26,1,7
Taylor Swift,I Knew You Were Trouble.,,2012-10-26,3,
fun.,Some Nights,3,2012-10-26,4,34
Taylor Swift,We Are Never Ever Getting Back Together,1,2012-10-26,5,10
Justin Bieber Featuring Big Sean,As Long As You Love Me,6,2012-10-26,6,17
Alex Clare,Too Close,7,2012-10-26,7,29
Ke$ha,Die Young,8,2012-10-26,8,3
P!nk,Blow Me,5,2012-10-26,9,15
Owl City & Carly Rae Jepsen,Good Time,8,2012-10-26,10,16
Rihanna,Diamonds,11,2012-10-26,11,3
Ne,Let Me Love You,12,2012-10-26,12,11
Adele,Skyfall,8,2012-10-26,13,2
Chris Brown,Don't Wake Me Up,14,2012-10-26,14,16
Ellie Goulding,Lights,2,2012-10-26,15,43
Neon Trees,Everybody Talks,6,2012-10-26,16,31
Flo Rida,Whistle,1,2012-10-26,17,22
"Kanye West, Jay",Clique,12,2012-10-26,18,6
Phillip Phillips,Home,9,2012-10-26,19,16
Carrie Underwood,Blown Away,20,2012-10-26,20,15
One Direction,Live While We're Young,3,2012-10-26,21,2
Gotye Featuring Kimbra,Somebody That I Used To Know,1,2012-10-26,22,41
Carly Rae Jepsen,Call Me Maybe,1,2012-10-26,23,34
Train,50 Ways To Say Goodbye,24,2012-10-26,24,14
Katy Perry,Wide Awake,2,2012-10-26,25,21
Miguel,Adorn,26,2012-10-26,26,11
"Kanye West, Big Sean, Pusha T, 2 Chainz",Mercy,13,2012-10-26,27,28
David Guetta Featuring Sia,Titanium,7,2012-10-26,28,27
Maroon 5 Featuring Wiz Khalifa,Payphone,2,2012-10-26,29,26
Mumford & Sons,I Will Wait,23,2012-10-26,30,10
Demi Lovato,Give Your Heart A Break,16,2012-10-26,31,28
The Lumineers,Ho Hey,32,2012-10-26,32,19
Bruno Mars,Locked Out Of Heaven,33,2012-10-26,33,2
Florida Georgia Line Featuring Nelly,Cruise,34,2012-10-26,34,9
Nicki Minaj,Pound The Alarm,15,2012-10-26,35,12
Hunter Hayes,Wanted,16,2012-10-26,36,25
Enrique Iglesias Featuring Sammy Adams,Finally Found You,24,2012-10-26,37,5
"French Montana Featuring Rick Ross, Drake, Lil Wayne",Pop That,38,2012-10-26,38,14
Imagine Dragons,It's Time,33,2012-10-26,39,19
2 Chainz Featuring Drake,No Lie,24,2012-10-26,40,23
Lee Brice,Hard To Love,41,2012-10-26,41,18
Jason Mraz,I Won't Give Up,8,2012-10-26,42,41
Ed Sheeran,The A Team,43,2012-10-26,43,14
Jason Aldean,Take A Little Ride,12,2012-10-26,44,13
Luke Bryan,Kiss Tomorrow Goodbye,45,2012-10-26,45,8
Trey Songz Featuring T.I.,2 Reasons,43,2012-10-26,46,15
Dustin Lynch,Cowboys And Angels,40,2012-10-26,47,22
Alicia Keys Featuring Nicki Minaj,Girl On Fire,37,2012-10-26,48,6
Rihanna,Where Have You Been,5,2012-10-26,49,26
Future,Turn On The Lights,50,2012-10-26,50,10
Flo Rida,I Cry,51,2012-10-26,51,3
2 Chainz Featuring Kanye West,Birthday Song,52,2012-10-26,52,10
Juicy J Featuring Lil Wayne & 2 Chainz,Bandz A Make Her Dance,53,2012-10-26,53,5
Taylor Swift,Red,6,2012-10-26,54,2
Frank Ocean,Thinkin Bout You,39,2012-10-26,55,14
David Guetta Featuring Chris Brown & Lil Wayne,I Can Only Imagine,44,2012-10-26,56,10
Jake Owen,The One That Got Away,57,2012-10-26,57,10
Christina Aguilera,Your Body,34,2012-10-26,58,4
OneRepublic,Feel Again,59,2012-10-26,59,7
Muse,Madness,60,2012-10-26,60,8
Kendrick Lamar,Swimming Pools,61,2012-10-26,61,9
Cher Lloyd,Want U Back,12,2012-10-26,62,18
Easton Corbin,Lovin' You Is Fun,59,2012-10-26,63,15
Rascal Flatts,Come Wake Me Up,59,2012-10-26,64,12
Miranda Lambert,Fastest Girl In Town,64,2012-10-26,65,12
Tim McGraw,Truck Yeah,57,2012-10-26,66,15
Little Big Town,Pontoon,22,2012-10-26,67,19
Kip Moore,Beer Money,68,2012-10-26,68,4
Brandy Featuring Chris Brown,Put It Down,69,2012-10-26,69,9
Taylor Swift,Begin Again,7,2012-10-26,70,3
The Script Featuring will.i.am,Hall Of Fame,71,2012-10-26,71,3
Usher,Numb,72,2012-10-26,72,4
Eric Church,Creepin',73,2012-10-26,73,8
Mumford & Sons,Babel,60,2012-10-26,74,3
Ellie Goulding,Anything Could Happen,,2012-10-26,75,
Lil Wayne Featuring Detail,No Worries,58,2012-10-26,76,6
Karmin,Hello,62,2012-10-26,77,7
Justin Moore,Til My Last Day,78,2012-10-26,78,5
Beyonce,Dance For You,78,2012-10-26,79,6
Swedish House Mafia Featuring John Martin,Don't You Worry Child,68,2012-10-26,80,4
Brad Paisley,Southern Comfort Zone,73,2012-10-26,81,2
Trey Songz,Dive In,77,2012-10-26,82,7
matchbox twenty,She's So Mean,40,2012-10-26,83,16
Gary Allan,Every Storm,78,2012-10-26,84,2
Greg Bates,Did It For The Girl,85,2012-10-26,85,4
Passion Pit,Take A Walk,85,2012-10-26,86,7
Randy Houser,How Country Feels,87,2012-10-26,87,2
Rick Ross Featuring Wale & Drake,Diced Pineapples,88,2012-10-26,88,2
"DJ Drama Featuring 2 Chainz, Meek Mill & Jeremih",My Moment,89,2012-10-26,89,2
Imagine Dragons,Radioactive,90,2012-10-26,90,7
Mumford & Sons,Whispers In The Dark,81,2012-10-26,91,3
Kenny Chesney,El Cerrito Place,,2012-10-26,92,
Meek Mill Featuring Drake,Amen,57,2012-10-26,93,17
Jerrod Niemann,Shinin' On Me,92,2012-10-26,94,7
Mumford & Sons,Holland Road,84,2012-10-26,95,3
Macklemore & Ryan Lewis Featuring Wanz,Thrift Shop,96,2012-10-26,96,2
Zac Brown Band,Goodbye In Her Eyes,,2012-10-26,97,
Kid Cudi Featuring King Chip,Just What I Am,74,2012-10-26,98,2
Blake Shelton,Over,43,2012-10-26,99,18
Mumford & Sons,Ghosts That We Knew,88,2012-10-26,100,3
Maroon 5,One More Night,1,2012-10-19,1,6
One Direction,Live While We're Young,,2012-10-19,3,
fun.,Some Nights,3,2012-10-19,4,33
Taylor Swift,We Are Never Ever Getting Back Together,1,2012-10-19,5,9
Taylor Swift,Red,,2012-10-19,6,
Justin Bieber Featuring Big Sean,As Long As You Love Me,6,2012-10-19,7,16
Adele,Skyfall,,2012-10-19,8,
P!nk,Blow Me,5,2012-10-19,9,14
Alex Clare,Too Close,8,2012-10-19,10,28
Owl City & Carly Rae Jepsen,Good Time,8,2012-10-19,11,15
Flo Rida,Whistle,1,2012-10-19,12,21
Neon Trees,Everybody Talks,6,2012-10-19,13,30
Ke$ha,Die Young,13,2012-10-19,14,2
Ellie Goulding,Lights,2,2012-10-19,15,42
Chris Brown,Don't Wake Me Up,14,2012-10-19,16,15
Ne,Let Me Love You,17,2012-10-19,17,10
Rihanna,Diamonds,16,2012-10-19,18,2
"Kanye West, Jay",Clique,12,2012-10-19,19,5
Carly Rae Jepsen,Call Me Maybe,1,2012-10-19,20,33
Katy Perry,Wide Awake,2,2012-10-19,21,20
Gotye Featuring Kimbra,Somebody That I Used To Know,1,2012-10-19,22,40
